title,aid,link,createtime,desc,ownertoken,like,coin,reply,share,favorite,view,danmaku
拜登宣布美国将从阿富汗撤军,587607785,https://www.bilibili.com/video/BV1gB4y1A7Ch,1618468469,"当地时间4月14日下午，美国总统拜登正式宣布，将在今年5月1日前开始从阿富汗撤军，并在9月11日前将所有美军士兵撤离。
-
参考消息",515155585,1310,9,133,9,18,12500,16
【武装突袭3】 东风战役_1： 2035撤军 (老兵难度),969884918,https://www.bilibili.com/video/BV1Jp4y1Y78U,1602536004,"武装突袭3东风战役。
老兵难度。(veteran)

[任务一] 2035撤军： 随着北约维和部队准备离开Stratis岛，局势日益紧张",535031866,8,3,3,0,1,274,3
141:7！联大决议要求俄罗斯无条件撤军，俄：联合国已无存在意义,482470818,https://www.bilibili.com/video/BV1aT411i7qV,1677230243,,701101243,8226,77,1229,432,412,393029,361
首席国哥:以色列在加沙北部撤军核心原因就是被哈马斯吊打，以色列根本打不过哈马斯！,538153421,https://www.bilibili.com/video/BV1Wi4y1r7RM,1704268321,-,552642893,118,1,1,1,7,6694,2
司马南对话波士顿圆脸：美国阿富汗撤军内幕,931716909,https://www.bilibili.com/video/BV1tM4y1K7qQ,1626329635,从美国人的角度看，阿富汗打击塔利班与恐怖主义做斗争是一种姿态，花钱太多不得不撤是现实考 虑，在这么一个地方保持军事存在，而且打了20年之久，最大的受益者是军工复合体。,612492134,48889,6158,1301,559,2538,662791,5433
百万大裁军时撤销的四个大军区,541676590,https://www.bilibili.com/video/BV1Ri4y1u7B6,1597303020,-,585915820,67,6,2,1,3,2024,0
巴赫穆特已被包围！瓦格纳创始人喊话泽连斯基：快撤军吧！,610582023,https://www.bilibili.com/video/BV1h84y1P7MP,1677936313,3月3日，俄罗斯瓦格纳集团创始人叶夫根尼·普里戈在社交媒体上公布了一段他在巴赫穆特城外拍摄的视频。在视频中，普里戈呼吁乌克兰总统泽连斯基下令从当地撤军。,6250993,484,2,35,15,37,8215,1
特朗普下令撤军，被抛弃叙利亚民众怒砸土豆为美军“送行”......,73119017,https://www.bilibili.com/video/BV1RE41127JM,1571803786,"来源：中国网直播、WatchThis字幕组、Twit
21日，一列美军车队在撤离时，路过叙利亚东北部城市卡米什利，当地愤怒的库尔德人，用土豆砸向美军车队。当地民众还冲美军高喊：“滚吧 滚吧”，“你们这群骗子”，“美国骗子”。据悉，本月早些时候，白宫宣布从叙利亚撤军，并表示美国对土耳其即将进入叙北部展开的军事行动“不支持、不参与”，美军会撤出相关区域。土耳其武装部队随即在土叙边境对叙利亚北部的库尔德工人党等武装发动军事行动。库尔德人认为自己遭到了美国的背叛，于是用土豆砸向美军车队，表达他们的愤怒。",384298638,9092,191,1104,435,1246,422109,796
1987年中印冲突，印度已下达作战命令，为何在最后60秒下令撤军？,426628464,https://www.bilibili.com/video/BV1k3411A7v3,1653131005,1987年中印冲突，印度已下达作战命令，为何在最后60秒下令撤军？,2142091632,730,80,29,18,100,31682,33
柏林大撤军！改变1945战局！！一路遇敌！能否成功？？！【世界征服者4伟大的卫国战争】,370230928,https://www.bilibili.com/video/BV1jZ4y1x7Dk,1586639348,成功将1945的德国存活【单将领】ヽ(•̀ω•́ )ゝ点个赞吧！,358012356,794,58,98,18,194,39708,156
苏沃洛夫不愿撤军放弃大好时机，波将金欲亲自向女皇说明战况,926313725,https://www.bilibili.com/video/BV1ZT4y177HG,1594501192,俄剧《叶卡捷琳娜二世》,85448146,15,1,2,0,9,1392,0
撤军,490181768,https://www.bilibili.com/video/BV1PN411z7eu,1693048830,-,1520718000,6,0,2,0,1,198,0
彻底决裂？美国撤军德国，昔日的战争强国终于开始反击了？,517537226,https://www.bilibili.com/video/BV1Xg411i7j2,1668151357,,1188785431,3,0,0,0,0,1221,0
瓦格纳整天哭穷，称武器不够，要撤军！其实计谋百出！,485978442,https://www.bilibili.com/video/BV1nT411879c,1683469828,瓦格纳整天哭穷，称武器不够，要撤军！其实计谋百出！,506070954,1,0,0,0,0,47,0
以色列撤军认怂⚡特拉维夫再遭火箭弹袭击,240861529,https://www.bilibili.com/video/BV1be411i7uF,1704334097,-,1277927876,135,2,14,1,9,7557,21
如果苏联古巴导弹危机不撤军，往纽约，华盛顿扔核弹，那么苏联是不是就无敌了？,538021378,https://www.bilibili.com/video/BV1ri4y167ot,1703920838,,3546575171225798,50,0,3,1,9,1253,0
诸葛亮摆出空诚计，司马懿为何要撤军？,439750601,https://www.bilibili.com/video/BV14j411c7rQ,1681053247,-,538918958,0,0,0,0,0,206,0
当苏联撤军的BGM遇上美军撤军画面,717474881,https://www.bilibili.com/video/BV1jQ4y1m7UP,1629363010,屑作勿喷~,293092344,224,16,18,11,60,11631,6
局座：美国2021年撤军阿富汗,804881129,https://www.bilibili.com/video/BV1ky4y1V72q,1629302734,https://b23.tv/Nb0BFR,1078691595,6,0,1,1,1,269,0
（原声）白俄立大功，普里戈任发表撤军演说,272676021,https://www.bilibili.com/video/BV1HF411d7aP,1687636561,瓦格纳撤军，普里戈任宣布撤军,282807950,242,2,72,24,32,30022,1
美军撤军后，阿富汗国民军最后奋战的8个月！纪录片《撤退》,479340131,https://www.bilibili.com/video/BV16M411P7Fb,1676247837,,1936325065,9,0,1,0,5,556,0
瓦格纳撤军内战结束，俄罗斯民众放烟花庆祝,827708060,https://www.bilibili.com/video/BV1cg4y1N7qX,1687677878,瓦格纳撤军内战结束，俄罗斯民众放烟花庆祝,41011596,6,0,0,0,0,309,0
王帆：美国为什么选择从阿富汗撤军？,460488769,https://www.bilibili.com/video/BV1b541137fr,1620448076,本期主题：美国撤军阿富汗,1569239701,452,43,18,50,63,12529,18
这样也行？白宫：拜登阿富汗撤军，都是为了中国,269671413,https://www.bilibili.com/video/BV12c411W7qg,1680844945,在世人眼前崩溃！美国撤军阿富汗酿灾难，拜登政府跨部门检讨，历时20个月，写出11页半文件，文件直接点名特朗普13回，白宫究竟如何痛批这名“元凶”？#白宫義见# 为你做出3大总结，还要为你揭开拜登如何“巧妙”抛出文件，让白宫记者们全都措手不及。,1217722070,5729,840,249,87,296,105188,431
美国撤军阿富汗警示台湾？绿节目叫嚣：我们有台积电，阿富汗没有,717377280,https://www.bilibili.com/video/BV12Q4y127Sa,1629273945,,676917410,1357,6,302,50,64,55589,362
【节选】过于不体面的阿富汗撤军行动,890157003,https://www.bilibili.com/video/BV1ZP4y1p7EG,1630281906,本视频内容来源于双尾彗星直播间(live.bilibili.com/1496449?broadcast_type=0&amp;is_room_feed=1&amp;share_source=copy_link) 欢迎各位亲自前往收看以及订阅,165126669,32,2,4,0,7,734,0
美国宣布完成超90%撤军后 阿富汗政府军向塔利班投降,889004840,https://www.bilibili.com/video/BV1YK4y1M7B7,1625708509,,416220301,1406,5,258,109,75,74511,20
司马懿识破诸葛亮的空城计，为什么还选择撤军？,365547781,https://www.bilibili.com/video/BV1o94y1G78j,1699328661,-,1402601280,0,0,0,0,0,4,0
美盟友宣布撤军，阿富汗翻译官们急了：去不了澳大利亚就得死,375260901,https://www.bilibili.com/video/BV1gZ4y1F7iM,1619322095,美盟友宣布撤军，阿富汗翻译官们急了：去不了澳大利亚就得死,703209803,1995,17,127,31,59,45246,88
美军退走，以色列撤军 ！,580764979,https://www.bilibili.com/video/BV1e64y1E7wS,1704337838,美军退走，以色列撤军 ！,699615162,80,0,0,1,6,2190,0
“人海战术”背后的险恶隐喻，志愿军从来不是“人命填胜利”！【逸语道破】,208906141,https://www.bilibili.com/video/BV1Ch411879m,1636111707,谁能想到，所谓“人海战术”最初作为军事术语就是指“三三制”！随着西方宣传机器的开动，它却成为了基于西方中心主义的种族歧视所构成的一个隐喻——野蛮人、虫族、丧尸、“共产主义蔑视生命”……这一切都是为了解构我们的胜利、掩饰他们的挫败。更可怕的是，很多国人跟着信了……,648113003,67752,29091,3423,5342,13724,946977,15024
苏联军队从阿富汗撤军（1990.02.15《时间》放送）,424002369,https://www.bilibili.com/video/BV1M341177NF,1644912773,"https://m.youtube.com/watch?v=UdJFcRJyOco
《时间》1990 年 2 月 15 日放送
关于苏联军队从阿富汗撤军。 主持人 - 叶夫根尼·基谢列夫
《时间》的信息图。  1990 年 2 月 15 日放送
 信息主编辑部，1990",269443205,84,1,2,5,60,2455,0
法国撤军 西非争端就结束吗？刚刚开始！！西非三国军政府谁会先倒下 西非三国面对的主要武装力量汇总,874218857,https://www.bilibili.com/video/BV1dN4y1f7oG,1696237342,"求点赞啊

审核手下留情 本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力审核手下留情 本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力审核手下留情 本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力审核手下留情 本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力审核手下留情 本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力审核手下留情 本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力审核手下留情 本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力本视频不宣传暴力",1647338262,54,10,24,1,7,1007,1
特朗普再就阿富汗炮轰拜登：这不是撤军是投降，是美国史上最大的外交政策之耻,720092322,https://www.bilibili.com/video/BV1FQ4y1e7Ai,1629624219,,483787858,3068,34,235,121,267,78114,99
【东睡西懂】第2集||王家卫风格，你知道打仗和撤军的区别吗？,762925091,https://www.bilibili.com/video/BV1h64y1h7Nh,1631610815,《东睡西懂》第2集,368740354,3820,1286,112,63,379,39767,121
俄罗斯撤军并非结局，中国早已了解俄动向？乌克兰仍有变天可能,724016677,https://www.bilibili.com/video/BV1US4y1C7Bj,1645007146,俄罗斯撤军并非结局，中国早已了解俄动向？乌克兰仍有变天可能,2129478102,1075,92,74,18,59,23878,49
"最新消息！泽连斯基评论乌军撤军阿夫迪耶夫卡：“我们正在挽救人们的性命”，另外“莫斯科公国将发生内战！""",1050544544,https://www.bilibili.com/video/BV1oH4y1h7di,1708161968,"泽连斯基就乌克兰武装部队从阿夫迪耶夫卡撤军发表评论

泽连司机表示已做出决定 拯救人们的生命。其他声明：

▪️乌克兰武器短缺，尤其是火炮和远程武器短缺，这让俄军能够适应目前的敌对行动强度

▪️莫斯科公国爆发大规模叛乱，导致城市被攻占、内战以及向莫斯科的武装进军",1852114231,90,0,51,0,5,5053,1
1994年 在联合国主持下克罗地亚与塞尔维亚在马斯莱尼察开始撤军,459445034,https://www.bilibili.com/video/BV1M5411K71u,1614999826,https://www.youtube.com/watch?v=OZFqocnC5xQ,693536414,18,1,7,0,11,946,1
俄送来“大杀器”，伊朗底气大增，美智库呼吁美国撤军,919075055,https://www.bilibili.com/video/BV1nu4y1L7R4,1701408809,俄送来“大杀器”，伊朗底气大增，美智库呼吁美国撤军,649022917,902,9,17,3,14,5059,7
吕宁思：俄罗斯突然撤军 危机未必结束,894031658,https://www.bilibili.com/video/BV1nP4y1w7re,1645003131,,416220301,89,0,8,0,5,1780,0
俄国防部宣布从蛇岛撤军，丢弃了一个包袱，普京可放开手脚大干了,897902890,https://www.bilibili.com/video/BV1QN4y1u7HL,1656593045,俄罗斯国防部发布公告就说呢，俄罗斯蛇岛驻军呢已经完成了任务，所以啊现在呢就把蛇岛的驻军呢给撤走了。,606464177,616,13,275,12,27,21194,67
中印何以成功避免重演1962？印度撤军动作迅速，莫迪这次清醒了,629227852,https://www.bilibili.com/video/BV1Mb4y1R76f,1613662107,中印何以成功避免重演1962？印度撤军动作迅速，莫迪这次清醒了,689233736,635,16,94,10,32,30882,47
布林肯在国会接受“撤军拷问”，议员拿《环球时报》报道追问：美国会不会抛弃台湾？,505563611,https://www.bilibili.com/video/BV1Wg411c7Pn,1631672066,9月13日和14日，美国众议院和参议院外交事务委员会分别举行有关阿富汗撤军行动的听证会，国务卿布林肯接受两党议员连番“拷问”。有议员拿《环球时报》“批评美国抛弃盟友”的报道质疑布林肯，未来美国是否会同样抛弃台湾和乌克兰？多名议员甚至直接要求他辞职。不过，无论是从议员们的质询还是布林肯的回答来看，美国国内对这场“最长的战争”没有根本的反思，听证会只不过是两党互撕的一个场所。美国有线电视新闻网（CNN）称，听证会已经变成了一场“政治姿态秀”。,483787858,2042,11,114,29,113,34674,66
从东德撤军的苏军部队,328452823,https://www.bilibili.com/video/BV1PA411B7CF,1591592368,搬运自优酷,602302397,7,0,0,2,4,514,0
普京敢打长久消耗战，为何以色列却不敢，以军还没赢就准备撤军？,537520861,https://www.bilibili.com/video/BV1ii4y1a739,1703236142,,620974362,21,0,4,0,1,1056,3
印度撤军惹恼好战派，前防长怒斥军方叛国：这是对中国投降,671648322,https://www.bilibili.com/video/BV1GU4y1W748,1613449223,中国阻挠疫情调查？美媒公开污蔑，世卫专家：无耻！,306842296,716,6,108,3,23,28030,36
狼狈撤军、撤民、撤交，“闭关锁国”，昔日大国如今这么虚弱？,254881779,https://www.bilibili.com/video/BV1HY411n7rP,1647831605,,1236133730,4,0,0,0,0,86,0
有啥资格提条件？赵少康要求东部战区撤军一半，岛内还得派人盯着,367162083,https://www.bilibili.com/video/BV1K94y1N7Mr,1702379007,有啥资格提条件？赵少康要求东部战区撤军一半，岛内还得派人盯着,689239105,821,21,427,34,30,43432,280
中国人民解放军撤销的五个军衔，你知道都是什么军衔吗,711688597,https://www.bilibili.com/video/BV1oD4y1U7yG,1597188908,-,585915820,92,10,21,2,3,2866,4
陆逊正准备活捉刘备时，为何看到赵云就慌忙撤军,239302564,https://www.bilibili.com/video/BV1De411Y7ma,1706436629,陆逊正准备活捉刘备时，为何看到赵云就慌忙撤军,587419316,29,0,10,0,2,2142,0
《小螺号》歌词改编（懂王版）：新冠免费 、圣诞撤军？唱一唱特朗普为了大选吹下的牛,329845003,https://www.bilibili.com/video/BV18A411779b,1602142881,-,312587362,73,4,4,1,9,1300,1
上世纪越南占领柬埔寨后，为何主动撤军？原来是因为这几个原因,843606579,https://www.bilibili.com/video/BV1254y1W7jb,1610181173,上期节目我们跟大家聊了聊小国曹操，柬埔寨的首相洪森，很多朋友们也问说越南这国家挺奇怪的，好不容易拼凑了20万大军，把这个柬埔寨攻下来了，建立了傀儡政权，为什么到80年代末，越南主动撤军了呢？,379893518,144,11,11,0,27,3622,3
俄军开始撤军，乌克兰顿巴斯地区又开战，普京驱逐美驻俄副大使,551648177,https://www.bilibili.com/video/BV19i4y117wd,1645231783,俄军开始撤军，乌克兰顿巴斯地区又开战，普京驱逐美驻俄副大使,1639794264,11,0,1,1,2,812,0
一句“撤军”！破防了,814117839,https://www.bilibili.com/video/BV1JG4y1v79S,1659281314,-,199712312,6,0,0,0,5,176,0
战场上 中国军人不会轻易说“撤退”,711849597,https://www.bilibili.com/video/BV1RD4y127xj,1597854724,"剪辑素材：八佰预告片 湄公河行动 红海行动 战狼2 建军大业 
BGM：Audiomachine - Smoking Barrels
致敬每一个为国浴血奋战的军人们",56345895,453,98,116,16,130,8186,17
撤军张辽巅峰时期有多恐怖？,707822073,https://www.bilibili.com/video/BV18Q4y1E7zv,1703594988,-,214303598,0,0,0,0,0,86,0
一个月前，拜登曾称阿富汗和越南撤军0相似度,932337737,https://www.bilibili.com/video/BV1wM4y1L74m,1629083763,当地时间15日，塔利班进入阿富汗首都喀布尔，阿富汗总统出走，政权土崩瓦解。然而就在37天前，拜登曾在接受采访时表示，阿富汗政府手握30万装备精良的士兵，面对75000名塔利班，倒台不是不可避免的。另有记者提问，阿富汗事件是否会出现当时“西贡撤离”时的场面，拜登立即回答：绝不可能， 0相似度。但就在昨天，一组对比照片在网上火了起来...,10330740,28884,322,1941,1552,1310,531493,2034
美德关系破裂？美国宣布要从德国撤军，只因德国跟俄罗斯眉来眼去,583521567,https://www.bilibili.com/video/BV1Pz4y1R7az,1592209815,如果问美国总统特朗普，最不喜欢哪个大国领袖，恐怕德国总理默克尔应当位列其中。,161104920,860,29,191,10,69,19762,62
这就是中国：印度出兵叫嚣，中国代表只说了一句，印度就吓得撤军,264311177,https://www.bilibili.com/video/BV1VY411U71m,1672191878,这就是中国：印度出兵叫嚣，中国代表只说了一句，印度就吓得撤军,3461579379050843,466,17,19,24,80,46846,20
"""撤军""",963895118,https://www.bilibili.com/video/BV1gH4y1m7YV,1701075386,-,1249356996,11,0,1,0,0,199,0
泽连斯基和乌克兰军方现在越来越分裂了。扎卢日尼：我请求撤军！司机：不，你给我死守住！扎卢日尼：战争已经陷入僵局！司机：不，美国提供给我们F16，我们就会取得胜利,663159281,https://www.bilibili.com/video/BV1aa4y1Q7Ts,1699536416,-,3493263782709398,4,0,2,0,0,160,0
