comment,comment_time,likes,location,gender
张雪峰：经常对孩子说这五句话，相信孩子很快会开窍！第一句，告诉孩子，学习的本质是自学，知识不是靠老师讲明白的，而是要靠自己去思考、去领悟。很多知识需要多思考、多领悟，师父领进门，修行在个人。第二句，当孩子遇到不会做的题目或做错的题目时，要鼓励他们感到高兴，因为这是他们提高分 张雪峰：经常对孩子说这五句话，相信孩子很快会开窍！第一句，告诉孩子，学习的本质是自学，知识不是靠老师讲明白的，而是要靠自己去思考、去领悟。很多知识需要多思考、多领悟，师父领进门，修行在个人。第二句，当孩子遇到不会做的题目或做错的题目时，要鼓励他们感到高兴，因为这是他们提高分数和增长知识的机会。学习就是一个不断克服困难、纠正错误的过程。第三句，要让孩子明白学习的效果可能不会立即显现。无论他们现在多么努力或懈怠，短时间内可能不会有明显的改变。但是，坚持下去，三到五个月后一定会有所不同。不要问现在是否还来得及，只要他们愿意学习，任何时候都来得及。第四句，告诉孩子，他们可能没有经历过生活的艰辛，那是因为有人在为他们承担重任。努力和勤奋不一定能让他们成功，但懒惰一定会让他们失败。懒惰的人这辈子一定没有出息。第五句，提醒孩子，现在让他们沉迷的东西，将来可能会让他们更加痛苦。玩手机是毁掉他们成绩最快的途径。只有能抵制手机诱惑的人，才能真正做出大事。,2023-12-25 22:18,0,其他,f
不懂 今年新传咋回事 不想招生可以直说跟谁赌气？张雪峰啊 ,2023-12-25 22:17,0,山东,f
张雪峰上分,2023-12-25 22:17,0,北京,f
张雪峰：这波赢麻了//:现在的新闻媒体为了博眼球已经枉顾新闻事情抹黑司法机关了。,2023-12-25 22:16,0,吉林,f
我最爱的超话是，每一次发帖和互动，都像越过屏幕和大家聚在一起向喜爱的人表达心意，2024与我一起用超光影记录超影像！来晒晒的你吧～,2023-12-25 22:10,0,湖南,m
“事后，被害人情绪激动，实施了点火烧卧室柜子和客厅窗帘等行为，还逃出房间通过步梯下至13层呼喊“救命”，后被席某某强行拖拽回房内。”——事后，如今的媒体记者真是活该被张雪峰鄙视,2023-12-25 21:51,34,浙江,m
又一次直观感受到张雪峰说的真对//:还有这种操作？//:还有这种操作？//:这条博麻烦大家转转，不要被对方的限制展示评论，换主持人，换词条这三板斧给迷惑了,2023-12-25 21:41,0,其他,f
//:张雪峰一遍一遍被证明是对的,2023-12-25 21:33,1,四川,m
张雪峰考试爆笑讲解，考研ZZ的特点23考研张雪峰老师张雪峰[超话]##考研##政治##2024考研‬##2024考研438万人报名##英语##数学##复习##冲刺##升学规划##志愿填报#,2023-12-25 21:30,4,广东,m
我曾经以为我不再需要写日常的情感手记了因为我不需要再让他帮我排遣精神内耗，但是我错了，文科生终其一生的情感迸发只能在文字上，通过文字抒发悲喜，感受力量，如同历经时光磨砺的雕版，沧桑而隽永 ,2023-12-25 21:22,0,其他,m
孩子有主见倔犟家长没能力说服，老张讲述自己当年虎了八几撞南墙的事儿，从而学会了处世先yes再and,2023-12-25 21:20,75,湖北,m
老乡你实在不行找个明白人吧！别给孩子耽误了。这种孩子真的是命啊！,2023-12-25 21:16,718,湖北,m
张雪峰：在大学如何结交到好朋友。,2023-12-25 21:15,443,湖北,m
俗话说得好，张雪峰是对的//://:,2023-12-25 21:03,0,四川,m
张雪峰老师：孩子有野心的话，你是栓不住的。,2023-12-25 21:01,3,北京,m
有人说，张雪峰给高中生说的10句话很实在，要是过去没看到，现在看到都不晚！1、高考是你一生中，是可以改变命运的最佳机会！它独特有两点：一是成败由你掌握，二是相对来说它最公平。2、高中三大主科：语数英！你最低要考300分，不然无缘一本。如果你要上985，三门主科要考360分，三门副科都得上8 有人说，张雪峰给高中生说的10句话很实在，要是过去没看到，现在看到都不晚！1、高考是你一生中，是可以改变命运的最佳机会！它独特有两点：一是成败由你掌握，二是相对来说它最公平。2、高中三大主科：语数英！你最低要考300分，不然无缘一本。如果你要上985，三门主科要考360分，三门副科都得上80分。3、高中生考大学，公认的三大阻碍：玩手机，谈恋爱，叛逆期。4、每次模拟考试的成功或失利，并不能代表你的高考水平。但你记住：运气与状态决定你的上限，但实力决定你的下限！5、高中英语3600单词都认不全，英语不可能考120分！还有，你买菜的时候确实用不上英语，但是它能决定你在哪儿买菜。6、高中生记住：不要迷信刷题，更不能不刷题！什么意思? 不要假努力只刷会的题，应该多刷不会的题。因为做题数量跟分数没有关系，质量跟分数才有关系！7、一般来说，任课老师会陪你三年！别讨厌她，更不要因为她，不喜欢她教的的科目。另外，老师不是魔鬼，所以别害怕问老师题目。8、高中没必要搞人际关系，优生没时间，差生爱成群！你问问爸爸妈妈，有多少高中同学还有联系？9、身体是学习的本钱！特别是高三后期。学业的压力，让很多弱不禁风的优生，总是因为生病，三天两头请假。所以，学会劳逸结合！坚持适度原则，该学习时就心无旁骛，该休息时就卸下包袱，跑跑步，打打球。10、三年高中，一千个日夜。学业压力，同学相处，未来憧憬。你心里有想法，或者有困难时候，可以找父母或者老师倾诉。一是说出来，比闷在心里更舒服。二是父母老师都会尽力帮你度过难关。,2023-12-25 20:53,0,西藏,f
小姐妹找我了解成都丰胸医生吴江山的反馈，打算做假体，问他做胸的话大概要多少钱呢？吴主要做的假体是傲诺拉闪耀和璀璨，大多数反馈都比较挺翘，很适合轻微松弛下垂或者干瘪下垂的姐妹，一般6W＋.成都隆胸医生：张雪峰、何一波、唐勇、魏家宾、刘中国、罗通贵口碑反馈都🉑问小姐妹找我了解成都丰胸医生吴江山的反馈，打算做假体，问他做胸的话大概要多少钱呢？吴主要做的假体是傲诺拉闪耀和璀璨，大多数反馈都比较挺翘，很适合轻微松弛下垂或者干瘪下垂的姐妹，一般6W＋.成都隆胸医生：张雪峰、何一波、唐勇、魏家宾、刘中国、罗通贵口碑反馈都🉑问噢,2023-12-25 20:45,1,福建,f
媒体真不是个东西啊，真是理解张雪峰，成为张献忠了。,2023-12-25 20:38,0,北京,f
评论区精选还要替男的开脱啊？！你们怎么精选一些主观臆测就不知道尊重法院判决？！张雪峰说的可对啊,2023-12-25 20:26,0,北京,f
我做一个影响我一生的决定只需要一天，我的孩子为了承担我做的决定的后果需要一辈子......最近看到的一个新感悟......有一个女的穿着婚纱嫁进了大山，下面的一条评论说：“你决定嫁进大山只需要一天，你的孩子考出大山需要一辈子。”......被这句话震 我做一个影响我一生的决定只需要一天，我的孩子为了承担我做的决定的后果需要一辈子......最近看到的一个新感悟......有一个女的穿着婚纱嫁进了大山，下面的一条评论说：“你决定嫁进大山只需要一天，你的孩子考出大山需要一辈子。”......被这句话震惊到了......到现在都没缓过来......————————————图文无关系列......还是要做一个积德的决定，孩子是无辜的，但我不是......我一定不是无辜的......一定不是......我也清楚我想找个什么样的，但是我发现，我喜欢的人不在我身边，喜欢我的我又看不上我是委屈自己还是继续等待?张雪峰配享太庙啊啊啊啊，他的话又灵验了。其实我也很清楚等的后果是什么......,2023-12-25 20:24,0,山西,f
//:想想谁在控制舆论影响力，谁在利用传播渠道的资源进行价值引导，普通人为自己利益发声，如果不能被利用反体制，能给你多少曝光率？,2023-12-25 20:16,0,黑龙江,m
怎么复制张雪峰？答：张雪峰是如何破圈的？是靠“升学规划” ，更具体一点儿说是“填志愿”。很多人以为是张雪峰是靠演讲的励志鸡汤火的，其实这些都是表象。他的演讲、短视频、直播只是放大了他的这个“核心价值”，不能帮助学生和家长填对志愿，他是不可能取得现在的成功的。他所有火的视 怎么复制张雪峰？答：张雪峰是如何破圈的？是靠“升学规划” ，更具体一点儿说是“填志愿”。很多人以为是张雪峰是靠演讲的励志鸡汤火的，其实这些都是表象。他的演讲、短视频、直播只是放大了他的这个“核心价值”，不能帮助学生和家长填对志愿，他是不可能取得现在的成功的。他所有火的视频和直播都是关于如何填志愿的，个个都是一针见血。他是了解了社会的各种残酷真相后再给这些家长和学生提供报考建议，务实而有用，你说家长能不欢迎吗？孩子寒窗苦读那么多年，还不是想有个好的未来？也就是很多社会真相，张雪峰提前告诉了你，这就是他的核心价值，帮无数学生和家长少走了很多弯路。张雪峰现在就是靠帮学生填志愿迅速出圈的。怎么复制张雪峰老师？第一步，你要讲课，不断讲课，然后把你讲课的内容，传到抖音上。第二步，你要锁定一个卖点儿，围绕着这个卖点转圈圈，翻来覆去讲同一个点，这样你出圈的可能性还是比较大的。第三步，靠卖课卖服务赚钱。张雪峰卖课卖服务，都是在一个圈里兜圈，别人兜 10 圈不赚钱都跑了，他是兜1000圈不赚钱，还继续兜圈。他把同行熬死了，整个市场就是他自己的。总结一下，如果你真想赚到钱，必须专注某一个细分的价值并做到极致，哪怕很小的一个价值，都有无数人会买单。不是粉丝多了就赚钱，是垂直度高才赚钱，不要想着成交所有的人，习惯性垂直吊打，才会一直出单，一直出单。,2023-12-25 20:16,0,广东,f
一个劲儿的忽悠去do项目，不管适不适合，终究吃亏的是自己下方真实情况可了解张雪峰、刘中阳（武汉、泉州、海口）案例 ,2023-12-25 20:13,0,上海,f
因为你们的存在，我在仰望星空的同时也在努力成为闪闪发光的人，2024与我一起用超光影记录超影像！,2023-12-25 20:04,0,山西,f
啊，可以的可以的！我之前还说觉得雷鸣像张雪峰，那现在不像了！,2023-12-25 19:59,0,其他,f
//:兼听，现在看起来是媒体报道和实际有出入，还是张雪峰说得对啊//:本来在调查中不能出来说话，刚好有点🔥度提醒一下太太和代理们吧，网售平台不要挂本子名字，公司比个人罚得轻，买明信片送本子不认可，属地原则（哪里发货哪里管，所以注册在歪果没有用）,2023-12-25 19:52,0,广东,m
有老姊妹说喜欢一个医森老久，但是忽然看到黑料很失望。下边这些都是可以对比的。成都水滴胸成都刘云天、费剑锋、张寒、成都王伟、张雪峰、孙文强、成都武剑、马丽、鲁树荣、成都刘会省、曹庆琳、钟盛全好不好？靠谱吗？有没有失败案例？咱这次就说的清清楚楚啦！,2023-12-25 19:52,0,四川,f
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,f
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,m
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,m
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,f
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,m
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,上海,m
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,m
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,北京,m
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,m
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,m
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,m
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,f
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:39,0,陕西,f
经典名场面，张雪峰7分钟解读34所考研自主划线院校,2023-12-25 19:34,0,北京,f
为什么越来越多的人选择考研？大家要正视现在的竞争！,2023-12-25 19:33,0,北京,m
考研它不是一个目标,2023-12-25 19:33,0,内蒙古,f
【】考研名师开导年轻人如何面对社会焦虑时提到，人要学会放下，不要把自己逼得太狠，退一步海阔天空，之前面对的所有焦虑都可以烟消云散了。 ,2023-12-25 19:33,36,其他,m
//://:张雪峰参与新知问答策划的回答，感谢邀请。,2023-12-25 19:31,0,其他,f
张雪峰的建议,2023-12-25 19:30,0,山东,f
张雪峰老师把各种专业和院校优劣势分析出来了,2023-12-25 19:18,0,海外,f
张雪峰讲义的视频,2023-12-25 19:14,0,其他,m
董宇辉效应下，张雪峰老师入场了！！张雪峰公司宣布成立雪峰甄选，张雪峰和董宇辉比较，大家更看好谁哦？张雪峰口才估计大家都有所了解，高考填报志愿能说成相声。也有很丰富社会经验，既有文人墨客惆怅和伤感，也有江湖义气豪迈！董宇辉朴实芳华和张雪峰豪迈侠义比较，谁更有钱途？？ 董宇辉效应下，张雪峰老师入场了！！张雪峰公司宣布成立雪峰甄选，张雪峰和董宇辉比较，大家更看好谁哦？张雪峰口才估计大家都有所了解，高考填报志愿能说成相声。也有很丰富社会经验，既有文人墨客惆怅和伤感，也有江湖义气豪迈！董宇辉朴实芳华和张雪峰豪迈侠义比较，谁更有钱途？？ ,2023-12-25 19:09,0,北京,m
张雪峰参与新知问答策划的回答，感谢邀请。,2023-12-25 19:02,0,北京,m
新闻人，你们的专业在哪里，良知在哪里？说张雪峰搞无耻黑红流量，你们这些新闻人在干什么？ ,2023-12-25 19:02,9,台湾,m
转专业电子信息和计算机怎么选，来听听张雪峰老师怎么说。,2023-12-25 19:01,9,北京,m
//:又到了证明张雪峰正确的时刻，中国解放军现在后勤水平是很高的。偶尔吃两口雪或许有，但并非常态。之所以这么写是因为他们新闻专业上学时老师只教了这一种写法。//://:这真不是值得宣传的事，反而是值得检讨的事,2023-12-25 18:54,0,河南,m
张雪峰讲义的视频,2023-12-25 18:52,0,其他,m
什么玩意儿叫平均最低月薪？平均月薪还是最低月薪？张雪峰疯狂上分是吧,2023-12-25 18:41,0,北京,m
张雪峰说的没问题 ,2023-12-25 18:39,0,广东,m
张雪峰怎么贬低新闻专业来着只是说了新闻无用吧？我看新闻业哪里没用，不顾事实颠倒黑白可最会了。真实是新闻的生命，这就是个笑话吧。法官有终身责任制，新闻没有，所以媒体小编就能乱说话是吧法官都已经判刑了！一群人证据不看公 张雪峰怎么贬低新闻专业来着只是说了新闻无用吧？我看新闻业哪里没用，不顾事实颠倒黑白可最会了。真实是新闻的生命，这就是个笑话吧。法官有终身责任制，新闻没有，所以媒体小编就能乱说话是吧法官都已经判刑了！一群人证据不看公告不看，反而和新闻媒体一起支持罪犯。惊呆我了……我寻思法院结果还是比小编有权威性的吧。这是在质疑什么呢，法院结果肯定比被告方的一言之词可信啊,2023-12-25 18:35,0,其他,f
//:张雪峰一遍一遍被证明是对的,2023-12-25 18:29,0,浙江,m
2023年我最常互动的人是！我们是互联网上最最好的小伙伴2024与我一起用超光影记录超影像！戳>>，一起来试试吧~,2023-12-25 18:26,1,新疆,f
张雪峰攻略,2023-12-25 18:23,0,浙江,f
来听张雪峰老师讲高中谈恋爱怎么办？,2023-12-25 18:21,4,北京,m
,2023-12-25 18:10,0,福建,m
张雪峰说的对，新闻为了吸引眼球做这种片面的报道，只会带节奏，还没看到有新闻机构能完整全面的叙述整件事情，只看到了对司法机构和女方的指责 ,2023-12-25 18:03,1,广东,f
大学生迷茫？只管努力，剩下交给天意,2023-12-25 18:01,3,北京,m
我尤其支持你！妈的还主流媒体结果中国春节的不敢写，张雪峰有一次证明他说的都对！,2023-12-25 17:57,0,其他,f
又骗别人去读研是吧哈哈哈（太地狱了）您猜为什么下降？ ,2023-12-25 17:54,2,湖南,m
张雪峰是对的 ,2023-12-25 17:49,0,广东,m
张雪峰是对的//:媒体嘛，能干什么人事//://:明明是一个多地联合办案的正面新闻，生生被有些霉体搞成了负面热搜。,2023-12-25 17:49,1,安徽,m
我个人很关注张雪峰，因为每到报考季，就会有家长咨询孩子（必须是我教过的孩子）如何选专业。因为我比较熟悉孩子的兴趣，多少会给予一些建议。其实他也经常出现逻辑错误，就比如他说“别报英语，英语专业门槛太低… 你看老罗零基础，发奋图强一年，成为新东方名牌教师”…… 这里有非常明显的逻辑错 我个人很关注张雪峰，因为每到报考季，就会有家长咨询孩子（必须是我教过的孩子）如何选专业。因为我比较熟悉孩子的兴趣，多少会给予一些建议。其实他也经常出现逻辑错误，就比如他说“别报英语，英语专业门槛太低… 你看老罗零基础，发奋图强一年，成为新东方名牌教师”…… 这里有非常明显的逻辑错误——但凡学过英语的人都知道，就算是爱因斯坦零基础学1年英语，也不可能达到新东方老师的标准，3年都很难。那么，老罗怎么做到的？谁告诉你老罗英语好了？他口才那么好，你见过他说整句的英语吗？GRE是美国研究生的入学考试，每个阶段，都有特定的复习内容和复习重点，应对这种考试，逻辑思维比英语水平更重要。罗永浩牛在他没有延续传统的教学模式，而是摸索出一套讲解GRE填空的逻辑关系教学。说白了，他学的是哑巴英语，教的是机械答题。网络鱼目混杂，捡有用的听就好。,2023-12-25 17:46,2,北京,f
等你三十岁时，别人分数比你低但挣得多多了，你心里能平衡吗？,2023-12-25 17:41,1,北京,m
考研-1 -2 -3分都是常有的，大家要多注意。,2023-12-25 17:31,0,北京,m
很好！两节课都在看视频，还不如出去晒太阳,2023-12-25 17:29,1,其他,f
写出这种标题怪不得张雪峰天天埋汰你们小学语文老师都得骂你 ,2023-12-25 17:18,10,陕西,f
所以张雪峰是对的，现在的新闻媒体就是垃 圾，罔顾事实造谣受害女方，煽动舆论搞对立，昧着良心赚流量。官方通报出来了，还能诬陷受害者，让人受到二次伤害。而且微博本科率确实不高，法盲很多。 ,2023-12-25 17:15,0,重庆,m
最近，一女大学生跟张雪峰连线，吐槽自己父母给的生活费少，说七八年前姐姐上大学时一个月给生活费800，现在自己上大学，生活费只给1000，连一个保温杯都买不起。张雪峰问女孩保温杯多少钱？女孩说三四百。直播间瞬间风起云涌，网友都惊呆了，什么保温杯要三四百，张雪峰说自己的保温杯才39块9。网 最近，一女大学生跟张雪峰连线，吐槽自己父母给的生活费少，说七八年前姐姐上大学时一个月给生活费800，现在自己上大学，生活费只给1000，连一个保温杯都买不起。张雪峰问女孩保温杯多少钱？女孩说三四百。直播间瞬间风起云涌，网友都惊呆了，什么保温杯要三四百，张雪峰说自己的保温杯才39块9。网友表示，就现在这物价，在大学里一个月一千五到二千生活费能维持一个正常的生活和学习，各地区略有差距，但也就是一千五到二千的差距，一千块的确是有点少了！也有网友认为，400保温杯这孩子有点过分了，但是说实话现在的物价和生活一千一个月的生活费还是低了，一天33块钱，一日三餐，平均每顿饭11块钱，这中间还没算吃点小零食、买瓶饮料、手机费等，其他和同学逛个街吃个饭等交流活动更不可能了，当然如果有人非要拿贫困地区吃不上饭还要打工干活的孩子来举例子那我也没办法！对此，大家怎么看？,2023-12-25 17:13,88,其他,m
发布了头条文章：《考研结束！张雪峰锐评：国内考研卷考生，留学卷家庭！你怎么看？》,2023-12-25 17:12,0,北京,m
张雪峰老师说得对，学新闻的人都…,2023-12-25 17:05,0,江苏,m
一年的努力，终于在落笔处告一段落，夜以继日的辛苦、循环往复的焦虑都在此烟消云散，伴随着交卷的讯号，这段旅程也算是走完了大半，此刻尚未尘埃落定，但不论酸甜苦辣，皆付杯酒吧。在考研的旅程中，我们都是无名的人，默默地承受着压力，独自在知识的海洋中航行，寻找着属于自己的灯塔。路途充满荆 一年的努力，终于在落笔处告一段落，夜以继日的辛苦、循环往复的焦虑都在此烟消云散，伴随着交卷的讯号，这段旅程也算是走完了大半，此刻尚未尘埃落定，但不论酸甜苦辣，皆付杯酒吧。在考研的旅程中，我们都是无名的人，默默地承受着压力，独自在知识的海洋中航行，寻找着属于自己的灯塔。路途充满荆棘，但每一步都坚定而有力，因为我们知道，每一个努力的瞬间，都在为热爱而活。也许你仍在回忆考场上那张靓丽的试卷，文字引经据典，结尾振聋发聩，内容深刻直指国际时事；也许你正为错漏惴惴不安，听着周围的欢声笑语格格不入；但我猜更多人还沉浸在考试的后劲之中，内心平静，头脑中走马灯一样过着，几个小时前考题恍若去年的，而每一秒的备考回忆恍若昨天的……无论如何，还是要恭喜你的勇敢和坚持，无论结果如何，沿途风光旖旎，是顺利成硕还是寻找其他道路，总之坚持到底，不至于太过意难平。今年真是不太平的一年啊，用我看到的一句评论来说，“新闻和新闻业从未遭此打击”。的确，好像新闻业从未像今年一样引起广泛争议，年中张雪峰的新闻学之争，以实用性为名，给出世俗意义上“性价比高”的建议，引发“有用”“无用”的争论在年末依然回声不断。但年末的热播的新闻女王，文慧新的新闻理想又让观众动容，「新闻虽非枪械，但力量无穷 」，讲真剧情后期陷入宫斗的窠臼确实让人无奈，但每场戏开篇的金句却能让人重温新闻传播课堂上的惊艳。作为“新闻人” ，我们关心被洪水浸没的庄稼和图书，关心学校食堂饭菜的安全，关心孩子被拐家庭的破镜重圆，关心处于网暴中心的普通人，关心被数字时代落下的群体。我们关心这片土地上的人间烟火、众生百态，关心“无穷的远方，无数的人们”，他们的命运始终与我们相关，我们关心不太平的时间，希望让新闻有力量，让新闻人有力量。而对于你们来说，更是不太平的一年吧，毕竟回望来时路，所有的辛苦和焦虑我们都感同身受。面对扑面而来的备考生活，这一次我们不再是置身事外的观众，而是被推入其中的主角。鞋厂的小天使们常互相打趣，一年一年的考试下来，同学们换了一茬又一茬，小天使们还是在考研这天内心忐忑，神情紧张毫不逊色于高考门外跷脚观望的老母亲。肯定会担心焦虑啊，毕竟这一年，我们有着同样的感情和回忆。从年初起航班大家初入新闻传播的热血，逮住一个热点事件恨不得能从教材里找到几条印证理论的研究——早春新闻学课程被新闻专业主义点燃新闻理想，夏日沉浸在传播学的符号海洋，为一个个经典理论印证的预言惊叹；暑假里我们一起走过，你们为想不出的消息标题焦虑，我们看着溃不成军的评论框架发愁；终于在新的秋季，长时间的知识输入有了回报，论述的小标题不断精进，答题的理论案例也更加贴合；每一次模拟考中看到大家的进步，同学们感叹优秀作业的精彩时，其实我们也会感叹思想深度。考研的结束不是终点，而是一个崭新的起点。「敬你的沉默，和每一声怒吼；敬你弯着腰，上山往高处走」愿你在未来的道路上，继续保持这份执着与坚韧，接受不太平的挑战。作为一个不会写结尾的人，我对之前写过的一段祝福特别满意，这里也原封不动的送给仍未停歇的你——愿我们恪守传播中的新闻专业主义，在文化工业中坚守主体性；愿我们总有建设性新闻的积极心理，对抗时代中弥散的群体焦虑；愿我们坚持融合共生的开放性态度，在变化的媒体格局中愈益精进；愿有冲破螺旋敢于人先的勇气，有跨越鸿沟不断提升自我的决心；愿永远满怀期待，永远步履生风。,2023-12-25 17:03,41,福建,m
选专业决定不了未来，但能决定赛道,2023-12-25 17:01,23,北京,m
